title,author,cover_url,publish_date,language,subjects
rietveldprijs 2020: het beste van architectuur en stedenbouw in utrecht,"arjan den boer, mark hendriks",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,dutch,"architecture, modern architecture, awards, dutch architecture, city planning, netherlands, utrecht, 21st century"
marina faust,"marina faust, thorsten sadowsky, christiane kuhlmann, andrea lehner-hagwood",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"photography, otto breicha prize for photo art, exhibitions, artistic photography, awards, video art, marina faust (1950-)"
malte zander: languor : preis der kunsthalle wien 2019,"malte zander, lucas gehrmann",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"exhibitions, video art, artistic photography, awards, kunsthalle wien, malte zander (1991)"
nina vobruba: nest bau : preis der kunsthalle wien 2019,"nina vobruba, lucas gehrmann",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,german,"exhibitions, installations (art), artistic photography, awards, kunsthalle wien, nina vobruba (1985)"
canada's storytellers | les grands écrivains du canada: the gg literary award laureates | les lauréats des prix littéraires du gg,"a. d. irvine, edmond rivère, stephanie tolman",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"english, french","canadian authors, biography, canadian literature, awards, authors, canadian (french), governor general's literary awards, english literature"
young architects 20: objective,"the architectural league of new york, anne rieselbach, claire weisz",https://openlibrary.org/images/icons/avatar_book-sm.png,2021,english,"architecture, architecture and society, competitions, awards, history, young architects, architectural league prize for young architects and designers, architectural league prize for young architects and designers. fast (ocolc)fst01776258"
"inventing ideas: patents and innovation prizes, and the knowledge economy",b. zorina khan,https://covers.openlibrary.org/b/id/14573503-M.jpg,2020,english,"creative ability, patents, technological innovations, right of property, psychology, awards, creativity, créativité, innovations, prix et récompenses, droit de propriété, property rights"
cyberarts 2020 : prix ars electronica: starts prize '20,"christine leopoldseder, hannes leopoldseder, christine schopf, gerfried stocker",https://covers.openlibrary.org/b/id/13564363-M.jpg,2020,english,"computer animation, awards, technology and the arts, computer art, prix ars electronica"
world press photo 2020,world press photo foundation,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"photography, photojournalism, awards, twenty-first century, pictorial works, artistic photography"
hugo boss asia art: award for emerging asian artists 2015,sternberg press,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"english,chinese","asian art, exhibitions, awards"
baloise art,"david campany, martin schwander, manuela ammer, julika bosch",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"art, awards, modern art, art collections, art museums, baloise group"
yto barrada - before history. the abraaj group art prize 2015,omar kholeif,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"abraaj group art prize, exhibitions, art, awards"
syntax and society: the abraaj group art prize 2016,nav haq,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"art, exhibitions, awards"
brick 20: outstanding international brick architecture,"wienerberger ag, wienerberger ag wienerberger ag",https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"brick building, awards, pictorial works, modern architecture, wienerberger brick award"
"newbery and caldecott awards: a guide to the medal and honor books, 2020 edition",association for library service to child...,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"bibliography, newbery medal, best books, periodicals, children's literature, american, awards, caldecott medal, illustrated children's books, literary prizes, library science, united states"
amartya sen: friedenspreis des deutschen buchhandels 2020 : ansprachen aus anlass der verleihung = peace prize of the german book trade : conferment speeches,amartya sen,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,"german,english","awards, peace, award presentations, amartya sen (1933-), germany"
"julien gracq, prix goncourt 1951: histoire d'un refus : essai",roger aïm,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,french,"awards, prix goncourt, history, julien gracq (1910-2007), 20th century"
gup new 2020,jorre both,https://openlibrary.org/images/icons/avatar_book-sm.png,2020,english,"artistic photography, awards, photography, netherlands"
