title,authors,publisher,publishedDate,description,categories,pageCount,language,previewLink,averageRating,ratingsCount
Standard Encyclopaedia of Southern Africa,,,1971,,"Africa, Southern",700.0,en,http://books.google.de/books?id=8TzjAAAAMAAJ&pg=PA189&dq=awarded+books&hl=&as_pt=BOOKS&cd=162&source=gbs_api,,
Reports of Proceedings ...,Boston (Mass.). City Council,,1896,,Boston (Mass.),1300.0,en,http://books.google.de/books?id=V-HNAAAAMAAJ&pg=PA40&dq=awarded+books&hl=&as_pt=BOOKS&cd=163&source=gbs_api,,
Host Bibliographic Record for Boundwith Item Barcode 30112106525063 and Others,,,2013,,,138.0,en,http://books.google.de/books?id=JnkdVV7uB_UC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=164&source=gbs_api,,
British Novelists Since 1960,Merritt Moseley,"Gale Research International, Limited",1999,Contains biographical sketches of representative British novelists whose work began to appear roughly around 1960.,Biography & Autobiography,352.0,en,http://books.google.de/books?id=Dw_YAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=165&source=gbs_api,,
"Awards, Recommendations, Agreements, Orders, Etc",New Zealand. Department of Labour (1891-1947),,1913,,"Arbitration, Industrial",598.0,en,http://books.google.de/books?id=F1gTAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=166&source=gbs_api,,
Year-book,University of Southern California,,1922,,,1914.0,en,http://books.google.de/books?id=HNEQbusGElsC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=167&source=gbs_api,,
The Literary Digest International Book Review,Clifford Smyth,,1924,,American literature,854.0,en,http://books.google.de/books?id=DDYXoZr4vSIC&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=168&source=gbs_api,,
Bookbinding & Book Production,,,1944,,,994.0,en,http://books.google.de/books?id=jtsaAQAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=169&source=gbs_api,,
Canadian Library Journal,,,1979,,Information science,420.0,en,http://books.google.de/books?id=cFDpAAAAMAAJ&q=awarded+books&dq=awarded+books&hl=&as_pt=BOOKS&cd=170&source=gbs_api,,
Wealth and Progress of New South Wales,,,1917,,New South Wales,1018.0,en,http://books.google.de/books?id=GpALAAAAIAAJ&pg=PA252&dq=awarded+books&hl=&as_pt=BOOKS&cd=171&source=gbs_api,,
